n_itr STi_x1 STi_x2 STi_x3 STi_x4 UB1_x1 UB1_x2 UB1_x3 UB1_x4
5 0.9476 0.0000 0.0524 0.0493 1.4539 1.3303 0.3374 0.3761 
10 0.2746 0.5522 0.0000 0.1732 0.6926 0.6804 0.1443 0.2531 
15 0.5010 0.3212 0.0799 0.0979 0.4918 0.4922 0.1072 0.1607 
20 0.4394 0.3964 0.0986 0.1312 0.5281 0.5187 0.1147 0.1841 
25 0.4414 0.4032 0.0901 0.1233 0.5111 0.4974 0.1139 0.1513 
30 0.4361 0.4034 0.0951 0.1245 0.5279 0.5058 0.1169 0.1532 
35 0.4323 0.4051 0.0928 0.1300 0.5114 0.5211 0.1133 0.1805 
40 0.4323 0.4051 0.0928 0.1300 0.5308 0.5129 0.1132 0.1723 
45 0.4323 0.4051 0.0928 0.1300 0.5391 0.4971 0.1120 0.1781 
50 0.4323 0.4051 0.0928 0.1300 0.5403 0.4971 0.1126 0.1742 
